16,4,5,300,5,5
10,7,8,6,7,6,6,6,9,10,10,7,7,10,8,10,10,7,10,8,8,6,7,8,7,7,6,9,6,10,7,8,8,11,8,11,9,12,9,12,9,12,11,9,11,11,11,9,10,9,10,9,8,12,11,8,8,8,11,8,9,11,10,10
0,3,3,5
1,3,2,2
2,1,3,5
3,3,4,3
4,1,3,5
5,1,1,1
6,2,4,1
7,3,1,2
8,3,1,1
9,3,1,3
10,1,2,2
11,1,2,3
12,1,5,1
13,3,1,1
14,2,2,1
15,2,3,1
16,1,3,3
17,3,2,1
18,1,1,2
19,3,1,1
20,3,4,4
21,2,5,2
22,2,1,1
23,1,4,5
24,1,3,3
25,2,2,4
26,2,2,5
27,1,1,1
28,1,5,5
29,3,1,5
30,1,1,2
31,1,3,1
32,1,3,1
33,1,2,4
34,2,5,3
35,1,3,5
36,1,5,1
37,2,3,2
38,1,3,3
39,1,1,4
40,2,3,1
41,3,4,3
42,3,1,5
43,2,2,5
44,1,5,3
45,2,3,1
46,2,1,1
47,2,1,3
48,1,5,5
49,1,4,4
50,3,5,4
51,1,2,4
52,3,3,1
53,1,1,3
54,2,4,1
55,1,1,4
56,1,2,1
57,3,5,1
58,2,5,5
59,1,1,4
60,2,4,5
61,2,1,2
62,3,2,1
63,1,3,5
64,3,1,5
65,1,3,1
66,3,1,4
67,1,1,5
68,1,5,2
69,1,5,5
70,1,5,5
71,3,5,5
72,1,2,1
73,1,2,4
74,1,4,3
75,2,2,4
76,1,2,4
77,1,5,3
78,1,2,3
79,2,4,2
80,2,2,2
81,3,4,4
82,1,4,2
83,2,2,3
84,3,3,2
85,2,5,2
86,3,2,1
87,3,5,5
88,1,3,2
89,1,2,4
90,3,2,3
91,1,3,2
92,3,3,1
93,2,3,3
94,3,5,4
95,3,2,3
96,2,5,4
97,1,2,1
98,2,1,4
99,2,4,5
100,1,2,1
101,1,5,5
102,2,2,5
103,3,1,3
104,1,1,2
105,2,1,1
106,3,2,5
107,2,3,5
108,3,3,4
109,3,2,1
110,1,2,3
111,1,1,1
112,3,3,1
113,2,5,2
114,1,3,1
115,1,2,1
116,1,4,1
117,1,3,5
118,3,5,5
119,3,2,4
120,1,5,4
121,2,4,3
122,1,4,5
123,3,4,2
124,2,3,4
125,2,4,2
126,3,2,2
127,1,1,3
128,2,2,3
129,2,5,1
130,2,1,4
131,2,3,4
132,3,3,2
133,1,3,3
134,2,2,1
135,3,1,2
136,2,2,2
137,2,4,1
138,3,4,4
139,2,1,3
140,2,4,3
141,1,1,2
142,1,1,4
143,3,2,5
144,2,2,3
145,2,2,1
146,1,5,5
147,3,3,2
148,3,1,3
149,1,4,2
150,3,3,2
151,3,5,4
152,3,2,1
153,2,3,3
154,2,3,5
155,1,3,3
156,3,4,5
157,1,1,4
158,3,5,2
159,3,4,1
160,3,3,5
161,1,1,1
162,2,2,2
163,3,2,1
164,1,4,5
165,2,3,1
166,1,3,1
167,3,5,1
168,1,4,4
169,3,5,4
170,3,3,2
171,3,5,3
172,2,1,4
173,2,2,4
174,1,1,1
175,3,4,4
176,2,4,4
177,2,2,1
178,2,2,3
179,1,4,5
180,1,5,1
181,2,3,1
182,3,4,1
183,2,4,5
184,1,2,4
185,2,1,4
186,1,4,3
187,1,1,3
188,2,2,4
189,3,2,2
190,2,1,1
191,2,4,4
192,1,5,4
193,1,1,4
194,3,1,5
195,3,4,1
196,1,2,3
197,1,2,3
198,1,4,1
199,1,3,1
200,1,2,3
201,1,4,3
202,3,1,1
203,1,2,2
204,3,4,2
205,3,4,1
206,3,4,1
207,1,3,2
208,2,3,1
209,2,1,2
210,1,5,5
211,2,2,2
212,1,5,2
213,3,5,4
214,1,4,4
215,3,3,3
216,3,5,2
217,3,2,3
218,2,1,1
219,1,3,1
220,3,4,1
221,3,4,1
222,3,3,5
223,3,5,2
224,1,4,2
225,2,5,5
226,1,3,3
227,2,2,3
228,1,3,4
229,2,3,2
230,1,4,5
231,3,2,5
232,1,5,2
233,2,4,2
234,2,1,2
235,2,4,2
236,1,5,1
237,2,5,3
238,1,3,5
239,1,4,3
240,1,2,1
241,3,5,1
242,1,4,2
243,3,4,3
244,1,5,1
245,1,1,2
246,3,5,2
247,2,4,3
248,2,3,1
249,1,3,1
250,1,1,4
251,2,3,2
252,2,3,3
253,1,3,4
254,1,1,5
255,2,3,3
256,1,3,1
257,3,1,5
258,3,5,4
259,2,2,3
260,2,4,2
261,3,4,3
262,3,4,3
263,3,1,1
264,2,3,4
265,1,4,4
266,2,5,3
267,2,3,1
268,2,4,5
269,1,5,5
270,3,2,5
271,3,4,3
272,3,1,2
273,1,2,3
274,1,2,2
275,1,1,5
276,1,1,2
277,3,4,2
278,1,2,3
279,1,4,1
280,3,4,5
281,2,2,4
282,2,2,1
283,3,2,5
284,2,2,2
285,3,1,4
286,3,5,3
287,3,5,4
288,1,3,5
289,2,3,5
290,3,4,4
291,2,3,1
292,1,2,3
293,1,5,3
294,3,3,2
295,2,5,4
296,3,3,3
297,1,2,1
298,3,1,4
299,2,5,2
